Date,Close
10/1/2012,59.34
10/2/2012,59.85
10/3/2012,61.07
10/4/2012,61.07
10/5/2012,61.12
10/8/2012,60.57
10/9/2012,59.86
10/10/2012,59.64
10/11/2012,59.62
10/12/2012,59.89
10/15/2012,60.11
10/16/2012,60.79
10/17/2012,60.91
10/18/2012,60.62
10/19/2012,59.82
10/22/2012,59.94
10/23/2012,59.58
10/24/2012,59.6
10/25/2012,59.44
10/26/2012,59.39
10/31/2012,59.43
11/1/2012,61.43
11/2/2012,61.19
11/5/2012,60.94
11/6/2012,61.78
11/7/2012,60.53
11/8/2012,59.82
11/9/2012,59.96
11/12/2012,59.35
11/13/2012,59.23
11/14/2012,58.47
11/15/2012,58.77
11/16/2012,59.28
11/19/2012,58.95
11/20/2012,58.17
11/21/2012,58.56
11/23/2012,59.16
11/26/2012,58.43
11/27/2012,58.2
11/28/2012,58.58
11/29/2012,59.18
11/30/2012,59.91
12/3/2012,59.42
12/4/2012,59.72
12/5/2012,59.91
12/6/2012,59.73
12/7/2012,59.56
12/10/2012,59.61
12/11/2012,60.44
12/12/2012,60.28
12/13/2012,60.06
12/14/2012,60.18
12/17/2012,61.17
12/18/2012,62.01
12/19/2012,62.13
12/20/2012,62.05
12/21/2012,61.44
12/24/2012,61.29
12/26/2012,60.87
12/27/2012,60.34
12/28/2012,59.33
12/31/2012,59.48
1/2/2013,61.95
1/3/2013,61.74
1/4/2013,62.22
1/7/2013,62.29
1/8/2013,61.62
1/9/2013,62.16
1/10/2013,62.41
1/11/2013,62.62
1/14/2013,62.68
1/15/2013,62.95
1/16/2013,62.95
1/17/2013,63.64
1/18/2013,63.68
1/22/2013,63.78
1/23/2013,63.67
1/24/2013,63.82
1/25/2013,63.71
1/28/2013,63.88
1/29/2013,63.88
1/30/2013,63.06
1/31/2013,62.38
2/1/2013,62.9
2/4/2013,62.09
2/5/2013,63.07
2/6/2013,62.91
2/7/2013,62.25
2/8/2013,61.51
2/11/2013,61.42
2/12/2013,61.44
2/13/2013,61.44
2/14/2013,60.76
2/15/2013,62.07
2/19/2013,62.21
2/20/2013,61.42
2/21/2013,61.3
2/22/2013,62.78
2/25/2013,62.02
2/26/2013,62.64
2/27/2013,63.76
2/28/2013,64.47
3/1/2013,65.04
3/4/2013,66.27
3/5/2013,67.88
3/6/2013,67.99
3/7/2013,67.93
3/8/2013,67.75
3/11/2013,66.56
3/12/2013,66.36
3/13/2013,66.25
3/14/2013,66.18
3/15/2013,65.43
3/18/2013,65.41
3/19/2013,65.29
3/20/2013,65.17
3/21/2013,65.3
3/22/2013,65.54
3/25/2013,64.84
3/26/2013,65.73
3/27/2013,65.47
3/28/2013,65.66
4/1/2013,65.1
4/2/2013,65.38
4/3/2013,64.59
4/4/2013,64.71
4/5/2013,64.46
4/8/2013,63.84
4/9/2013,63.8
4/10/2013,64.82
4/11/2013,64.93
4/12/2013,64.7
4/15/2013,63.08
4/16/2013,64.22
4/17/2013,63.04
4/18/2013,62.51
4/19/2013,62.97
4/22/2013,62.86
4/23/2013,63.98
4/24/2013,64.19
4/25/2013,57.09
4/26/2013,59.35
4/29/2013,60.94
4/30/2013,59.64
5/1/2013,59.97
5/2/2013,60.07
5/3/2013,60.26
5/6/2013,60.75
5/7/2013,60.56
5/8/2013,60.49
5/9/2013,59
5/10/2013,60.2
5/13/2013,58.99
5/14/2013,59.11
5/15/2013,60.59
5/16/2013,59.85
5/17/2013,60.63
5/20/2013,59.64
5/21/2013,57.89
5/22/2013,58.59
5/23/2013,58.76
5/24/2013,57.9
5/28/2013,59.11
5/29/2013,59.25
5/30/2013,59.33
5/31/2013,58.44
6/3/2013,58.07
6/4/2013,57.78
6/5/2013,57.57
6/6/2013,58.45
6/7/2013,59.46
6/10/2013,58.97
6/11/2013,57.73
6/12/2013,57.78
6/13/2013,57.97
6/14/2013,57.5
6/17/2013,58.03
6/18/2013,58.7
6/19/2013,58.44
6/20/2013,57.85
6/21/2013,57.86
6/24/2013,57.51
6/25/2013,58.81
6/26/2013,59.45
6/27/2013,60.79
6/28/2013,61.04
7/1/2013,63.15
7/2/2013,62.37
7/3/2013,62.38
7/5/2013,62.55
7/8/2013,62.97
7/9/2013,63.24
7/10/2013,63.36
7/11/2013,64.38
7/12/2013,64.72
7/15/2013,64.83
7/16/2013,64.88
7/17/2013,65.01
7/18/2013,64.87
7/19/2013,64.08
7/22/2013,64.41
7/23/2013,63.77
7/24/2013,63.11
7/25/2013,63.17
7/26/2013,63.92
7/29/2013,63.54
7/30/2013,63.34
7/31/2013,63.92
8/1/2013,64.49
8/2/2013,63.89
8/5/2013,63.92
8/6/2013,63.65
8/7/2013,64.12
8/8/2013,64.2
8/9/2013,64.45
8/12/2013,64.67
8/13/2013,65
8/14/2013,64.77
8/15/2013,63.83
8/16/2013,64.24
8/19/2013,63.42
8/20/2013,63.14
8/21/2013,63.02
8/22/2013,63.61
8/23/2013,64.18
8/26/2013,64.32
8/27/2013,63.71
8/28/2013,63.4
8/29/2013,63.59
8/30/2013,63.53
9/3/2013,63.75
9/4/2013,64.16
9/5/2013,64.18
9/6/2013,64.45
9/9/2013,65.45
9/10/2013,66.32
9/11/2013,66.32
9/12/2013,65.45
9/13/2013,65.95
9/16/2013,65.91
9/17/2013,66.3
9/18/2013,66.08
9/19/2013,66.42
9/20/2013,66.84
9/23/2013,66.41
9/24/2013,65.96
9/25/2013,66.26
9/26/2013,66.36
9/27/2013,66.51
9/30/2013,66.31
10/1/2013,66.45
10/2/2013,66.45
10/3/2013,65.83
10/4/2013,66.3
10/7/2013,66.24
10/8/2013,65.4
10/9/2013,65.29
10/10/2013,65.8
10/11/2013,66.93
10/14/2013,67.43
10/15/2013,66.76
10/16/2013,67
10/17/2013,68
10/18/2013,68.74
10/21/2013,69.01
10/22/2013,69.47
10/23/2013,69.18
10/24/2013,69.82
10/25/2013,70.44
10/28/2013,70.84
10/29/2013,71.48
10/30/2013,71.46
10/31/2013,71.41
11/1/2013,71.33
11/4/2013,71.41
11/5/2013,71.76
11/6/2013,72.24
11/7/2013,71.68
11/8/2013,72.48
11/11/2013,72.28
11/12/2013,72.41
11/13/2013,72.96
11/14/2013,73.16
11/15/2013,73.67
11/18/2013,73.41
11/19/2013,73.36
11/20/2013,73.14
11/21/2013,73.16
11/22/2013,72.03
11/25/2013,72.73
11/26/2013,72.84
11/27/2013,73.54
11/29/2013,74.23
12/2/2013,74.23
12/3/2013,74.36
12/4/2013,74.34
12/5/2013,74.01
12/6/2013,74.91
12/9/2013,74.4
12/10/2013,75
12/11/2013,74.53
12/12/2013,74.23
12/13/2013,75.02
12/16/2013,74.86
12/17/2013,74.69
12/18/2013,75.81
12/19/2013,75.69
12/20/2013,75.28
12/23/2013,76.32
12/24/2013,76.42
12/26/2013,76.35
12/27/2013,76.09
12/30/2013,76.57
12/31/2013,76.32
1/2/2014,75.94
1/3/2014,75.8
1/6/2014,75.74
1/7/2014,77.06
1/8/2014,76.44
1/9/2014,76.63
1/10/2014,76.24
1/13/2014,75.01
1/14/2014,76.06
1/15/2014,76.78
1/16/2014,76.79
1/17/2014,76.99
1/21/2014,76.18
1/22/2014,75.57
1/23/2014,75.32
1/24/2014,73.24
1/27/2014,73.06
1/28/2014,73.48
1/29/2014,73.18
1/30/2014,74.19
1/31/2014,73.25
2/3/2014,70.81
2/4/2014,70.91
2/5/2014,70.75
2/6/2014,71.03
2/7/2014,71.45
2/10/2014,71.45
2/11/2014,72.72
2/12/2014,69.72
2/13/2014,70.72
2/14/2014,71.69
2/18/2014,73.05
2/19/2014,73.42
2/20/2014,73.85
2/21/2014,77.24
2/24/2014,77.41
2/25/2014,77.33
2/26/2014,77.7
2/27/2014,78.1
2/28/2014,78.15
3/3/2014,77.87
3/4/2014,80.91
3/5/2014,80.63
3/6/2014,80.73
3/7/2014,82.2
3/10/2014,81.82
3/11/2014,81.27
3/12/2014,80.93
3/13/2014,80.15
3/14/2014,79.91
3/17/2014,80.55
3/18/2014,80.66
3/19/2014,80.21
3/20/2014,80.69
3/21/2014,79.44
3/24/2014,78.81
3/25/2014,78.67
3/26/2014,77.72
3/27/2014,77.58
3/28/2014,77.77
3/31/2014,77.73
4/1/2014,78.89
4/2/2014,78.97
4/3/2014,78.58
